sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_phase6,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
male,ZH,202122,12,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2603,1822,781,0.48,48,774299,1.55,336.18,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,-2,-0.26,-14.3,-15.600000000000001
female,AG,202122,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,751,517,234,0.714,71.39999999999999,345258,1.45,217.52,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,2,0.58,66.7,44.099999999999994
female,AI,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,13,12,1,NA,NA,7932,0,163.89,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,0,NA,NA
female,AR,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,87,73,14,0,0,27426,0,317.22,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,0,NA,NA
female,BE,202122,6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1293,984,309,0.462,46.2,530832,1.13,243.58,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,-3,-0.57,-33.3,-6.700000000000003
female,BL,202122,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,365,292,73,0.4,40,148202,1.35,246.29,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,1,0.68,100,6.699999999999996
female,BS,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,369,307,62,0,0,101114,0,364.93,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,-2,-1.98,-100,-66.7
female,FL,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,78,65,13,NA,NA,19687,0,396.2,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,0,NA,NA
female,FR,202122,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,487,415,72,0.667,66.7,162511,2.46,299.67,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,2,1.23,100,26.700000000000003
female,GE,202122,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,794,511,283,0.4,40,261023,1.53,304.19,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,0,0,0,9.2
female,GL,202122,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,62,45,17,0,0,20226,0,306.54,COVID19Hosp,sex,2022-05-03_06-06-15,isoweek,2021-22,-1,-4.94,-100,-100
