date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202141,female,partially_vaccinated,0,34,152160,0,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202141,female,not_vaccinated,8,355,1499307,0.53,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202141,female,unknown,1,326,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202141,male,fully_vaccinated,9,82,2652317,0.34,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202141,male,partially_vaccinated,0,44,157431,0,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202141,male,not_vaccinated,8,481,1512219,0.53,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202141,male,unknown,3,373,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202141,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202141,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202141,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202141,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202142,female,fully_vaccinated,4,71,2789148,0.14,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202142,female,partially_vaccinated,0,34,117173,0,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202142,female,not_vaccinated,11,366,1481067,0.74,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202142,female,unknown,2,328,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202142,male,fully_vaccinated,10,92,2710849,0.37,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202142,male,partially_vaccinated,0,44,118364,0,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202142,male,not_vaccinated,5,486,1492754,0.33,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202142,male,unknown,2,375,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202142,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202142,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202142,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202142,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202143,female,fully_vaccinated,9,80,2825380,0.32,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202143,female,partially_vaccinated,2,36,95021,2.1,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202143,female,not_vaccinated,6,372,1466987,0.41,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202143,female,unknown,2,330,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202143,male,fully_vaccinated,10,102,2750170,0.36,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202143,male,partially_vaccinated,1,45,93768,1.07,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202143,male,not_vaccinated,12,498,1478029,0.81,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202143,male,unknown,3,378,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202143,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202143,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202143,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202143,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202144,female,fully_vaccinated,10,90,2849734,0.35,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202144,female,partially_vaccinated,0,36,82801,0,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202144,female,not_vaccinated,6,378,1454853,0.41,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202144,female,unknown,2,332,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202144,male,fully_vaccinated,7,109,2776812,0.25,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202144,male,partially_vaccinated,0,45,80327,0,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202144,male,not_vaccinated,8,506,1464828,0.55,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202144,male,unknown,1,379,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202144,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202144,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202144,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202144,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202145,female,fully_vaccinated,12,102,2871484,0.42,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202145,female,partially_vaccinated,0,36,78114,0,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202145,female,not_vaccinated,19,397,1437790,1.32,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202145,female,unknown,4,336,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202145,male,fully_vaccinated,9,118,2800566,0.32,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202145,male,partially_vaccinated,0,45,75059,0,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202145,male,not_vaccinated,14,520,1446342,0.97,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202145,male,unknown,3,382,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202145,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202145,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202145,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202145,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202146,female,fully_vaccinated,16,118,2887760,0.55,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202146,female,partially_vaccinated,0,36,74427,0,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202146,female,not_vaccinated,16,413,1425201,1.12,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202146,female,unknown,9,345,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202146,male,fully_vaccinated,13,131,2817835,0.46,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202146,male,partially_vaccinated,0,45,70901,0,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202146,male,not_vaccinated,17,537,1433231,1.19,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202146,male,unknown,9,391,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202146,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202146,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202146,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202146,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202147,female,fully_vaccinated,20,138,2901373,0.69,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202147,female,partially_vaccinated,0,36,72398,0,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202147,female,not_vaccinated,27,440,1413617,1.91,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202147,female,unknown,10,355,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202147,male,fully_vaccinated,31,162,2832120,1.09,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202147,male,partially_vaccinated,0,45,68324,0,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202147,male,not_vaccinated,19,556,1421523,1.34,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202147,male,unknown,8,399,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202147,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202147,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202147,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202147,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202148,female,fully_vaccinated,36,174,2914566,1.24,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202148,female,partially_vaccinated,1,37,72033,1.39,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202148,female,not_vaccinated,32,472,1400789,2.28,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202148,female,unknown,14,369,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202148,male,fully_vaccinated,36,198,2846103,1.26,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202148,male,partially_vaccinated,1,46,67339,1.49,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202148,male,not_vaccinated,37,593,1408525,2.63,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202148,male,unknown,20,419,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202148,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
202148,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,intermediate,2022-05-03_06-06-15,TRUE
