geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_phase6,timeframe_28d,timeframe_14d,nachweismethode,type_variant
CH,202123,50312,449,49863,1607127,1,100,0.9,-0.4,6.9,8670300,580.28,18536,-1725,-19.9,0,-3.3,COVID19Test,2022-05-03_06-06-15,isoweek,2021-23,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202123,91696,2323,89373,5970258,1,100,2.5,-0.6000000000000001,10.2,8670300,1057.59,68858.72,-18238,-210.35,0,-16.6,COVID19Test,2022-05-03_06-06-15,isoweek,2021-23,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202124,59232,218,59014,1666359,1,100,0.4,-0.5,6.7,8670300,683.16,19219.16,8920,102.88,0,17.7,COVID19Test,2022-05-03_06-06-15,isoweek,2021-24,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202124,81115,1275,79840,6051373,1,100,1.6,-0.8999999999999999,10.1,8670300,935.55,69794.27,-10581,-122.04,0,-11.5,COVID19Test,2022-05-03_06-06-15,isoweek,2021-24,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202125,61109,145,60964,1727468,1,100,0.2,-0.2,6.5,8670300,704.81,19923.97,1877,21.65,0,3.2,COVID19Test,2022-05-03_06-06-15,isoweek,2021-25,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202125,70231,778,69453,6121604,1,100,1.1,-0.5,10,8670300,810.02,70604.29,-10884,-125.53,0,-13.4,COVID19Test,2022-05-03_06-06-15,isoweek,2021-25,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202126,87648,202,87446,1815116,1,100,0.2,0,6.2,8670300,1010.9,20934.87,26539,306.09,0,43.4,COVID19Test,2022-05-03_06-06-15,isoweek,2021-26,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202126,78834,986,77848,6200438,1,100,1.3,0.19999999999999996,9.8,8670300,909.24,71513.53,8603,99.22,0,12.2,COVID19Test,2022-05-03_06-06-15,isoweek,2021-26,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202127,108889,378,108511,1924005,1,100,0.3,0.09999999999999998,5.8,8670300,1255.89,22190.75,21241,244.99,0,24.2,COVID19Test,2022-05-03_06-06-15,isoweek,2021-27,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202127,78023,1920,76103,6278461,1,100,2.5,1.2,9.8,8670300,899.89,72413.42,-811,-9.35,0,-1,COVID19Test,2022-05-03_06-06-15,isoweek,2021-27,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202128,105123,736,104387,2029128,1,100,0.7,0.39999999999999997,5.6,8670300,1212.45,23403.2,-3766,-43.44,0,-3.5,COVID19Test,2022-05-03_06-06-15,isoweek,2021-28,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202128,82244,3623,78621,6360705,1,100,4.4,1.9000000000000004,9.7,8670300,948.57,73361.99,4221,48.68,0,5.4,COVID19Test,2022-05-03_06-06-15,isoweek,2021-28,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202129,82636,1021,81615,2111764,1,100,1.2,0.5,5.4,8670300,953.09,24356.3,-22487,-259.36,0,-21.4,COVID19Test,2022-05-03_06-06-15,isoweek,2021-29,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202129,76764,4778,71986,6437469,1,100,6.2,1.7999999999999998,9.6,8670300,885.37,74247.36,-5480,-63.2,0,-6.7,COVID19Test,2022-05-03_06-06-15,isoweek,2021-29,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202130,74227,1071,73156,2185991,1,100,1.4,0.19999999999999996,5.3,8670300,856.11,25212.4,-8409,-96.98,0,-10.2,COVID19Test,2022-05-03_06-06-15,isoweek,2021-30,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH,202130,68975,5134,63841,6506444,1,100,7.4,1.2000000000000002,9.6,8670300,795.53,75042.89,-7789,-89.84,0,-10.1,COVID19Test,2022-05-03_06-06-15,isoweek,2021-30,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,PCR,
CH,202131,64060,1488,62572,2250051,1,100,2.3,0.8999999999999999,5.2,8670300,738.84,25951.25,-10167,-117.27,0,-13.7,COVID19Test,2022-05-03_06-06-15,isoweek,2021-31,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
