nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_phase6,timeframe_28d,timeframe_14d
all,VS,202128,5306,169,5137,328690,3.2,1.3000000000000003,11.8,1,100,348503,1522.51,94314.83,COVID19Test,,2022-05-03_06-06-15,isoweek,2021-28,-130,-37.3,-2.4,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,ZG,202128,4849,96,4753,159678,2,-0.10000000000000009,5.8,1,100,128794,3764.93,123979.38,COVID19Test,,2022-05-03_06-06-15,isoweek,2021-28,-66,-51.24,-1.3,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,ZH,202128,38556,1116,37440,1599044,2.9,0.7999999999999998,7.7,1,100,1553423,2482,102936.8,COVID19Test,,2022-05-03_06-06-15,isoweek,2021-28,14565,937.6,60.7,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,AG,202129,12595,283,12312,565072,2.2,0.8000000000000003,8.8,1,100,694072,1814.65,81414.03,COVID19Test,,2022-05-03_06-06-15,isoweek,2021-29,-1414,-203.73,-10.1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,AI,202129,183,1,182,17162,0.5,0.5,7.8,1,100,16293,1123.18,105333.58,COVID19Test,,2022-05-03_06-06-15,isoweek,2021-29,-7,-42.96,-3.7,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,AR,202129,794,13,781,39061,1.6,0.7000000000000001,10.2,1,100,55309,1435.57,70623.23,COVID19Test,,2022-05-03_06-06-15,isoweek,2021-29,-14,-25.31,-1.7,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,BE,202129,13287,344,12943,847695,2.6,0.6000000000000001,8,1,100,1043132,1273.76,81264.4,COVID19Test,,2022-05-03_06-06-15,isoweek,2021-29,-1496,-143.41,-10.1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,BL,202129,8665,181,8484,292040,2.1,0.7000000000000002,6.3,1,100,290969,2977.98,100368.08,COVID19Test,,2022-05-03_06-06-15,isoweek,2021-29,772,265.32,9.8,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,BS,202129,6201,153,6048,251429,2.5,0,5.4,1,100,196735,3151.96,127800.85,COVID19Test,,2022-05-03_06-06-15,isoweek,2021-29,429,218.06,7.4,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,FL,202129,1441,19,1422,56567,1.3,0.10000000000000009,5.8,1,100,39055,3689.67,144839.33,COVID19Test,,2022-05-03_06-06-15,isoweek,2021-29,37,94.74,2.6,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
