date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202107,female,unknown,86,434,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202107,male,fully_vaccinated,3,4,74712,4.02,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202107,male,partially_vaccinated,6,12,142182,4.22,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202107,male,not_vaccinated,69,224,4105073,1.68,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202107,male,unknown,102,510,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202107,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202107,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202107,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202107,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202108,female,fully_vaccinated,3,8,148895,2.01,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202108,female,partially_vaccinated,5,16,165235,3.03,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202108,female,not_vaccinated,44,214,4073258,1.08,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202108,female,unknown,92,526,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202108,male,fully_vaccinated,3,7,114508,2.62,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202108,male,partially_vaccinated,1,13,122812,0.81,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202108,male,not_vaccinated,55,279,4084647,1.35,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202108,male,unknown,90,600,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202108,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202108,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202108,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202108,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202109,female,fully_vaccinated,1,9,191823,0.52,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202109,female,partially_vaccinated,3,19,163028,1.84,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202109,female,not_vaccinated,65,279,4032537,1.61,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202109,female,unknown,75,601,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202109,male,fully_vaccinated,6,13,147288,4.07,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202109,male,partially_vaccinated,4,17,123084,3.25,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202109,male,not_vaccinated,78,357,4051595,1.93,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202109,male,unknown,111,711,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202109,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202109,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202109,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202109,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202110,female,fully_vaccinated,3,12,227026,1.32,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202110,female,partially_vaccinated,6,25,177653,3.38,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202110,female,not_vaccinated,70,349,3982709,1.76,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202110,female,unknown,100,701,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202110,male,fully_vaccinated,3,16,173537,1.73,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202110,male,partially_vaccinated,2,19,135826,1.47,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202110,male,not_vaccinated,66,423,4012604,1.64,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202110,male,unknown,110,821,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202110,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202110,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202110,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202110,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202111,female,fully_vaccinated,6,18,269802,2.22,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202111,female,partially_vaccinated,1,26,176598,0.57,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202111,female,not_vaccinated,69,418,3940988,1.75,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202111,female,unknown,110,811,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202111,male,fully_vaccinated,5,21,202904,2.46,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202111,male,partially_vaccinated,12,31,141527,8.48,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202111,male,not_vaccinated,89,512,3977536,2.24,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202111,male,unknown,121,942,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202111,unknown,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202111,unknown,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202111,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202111,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202112,female,fully_vaccinated,2,20,308474,0.65,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202112,female,partially_vaccinated,2,28,198324,1.01,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202112,female,not_vaccinated,97,515,3880590,2.5,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202112,female,unknown,110,921,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202112,male,fully_vaccinated,5,26,232951,2.15,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
202112,male,partially_vaccinated,2,33,163054,1.23,NA,CHFL,COVID19Hosp,vaccine,all,limited,2022-05-03_06-06-15,TRUE
