geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_phase6,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
NE,202115,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1065,887,178,1,100,175894,1.71,605.48,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-15,-3,-1.7,-50,0
NW,202115,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,111,87,24,1,100,43520,9.19,255.06,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-15,2,4.59,100,0
OW,202115,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,127,96,31,1,100,38108,10.5,333.26,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-15,1,2.63,33.3,0
SG,202115,20,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1564,1302,262,1,100,514504,3.89,303.98,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-15,4,0.78,25,0
SH,202115,6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,201,157,44,1,100,83107,7.22,241.86,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-15,-6,-7.22,-50,0
SO,202115,14,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,980,790,190,1,100,277462,5.05,353.2,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-15,-7,-2.52,-33.3,0
SZ,202115,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,570,505,65,1,100,162157,1.85,351.51,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-15,-2,-1.23,-40,0
TG,202115,13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,756,613,143,1,100,282909,4.6,267.22,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-15,-9,-3.18,-40.9,0
TI,202115,44,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3079,2686,393,1,100,350986,12.54,877.24,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-15,7,2,18.9,0
UR,202115,11,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,105,71,34,1,100,36819,29.88,285.18,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-15,5,13.58,83.3,0
VD,202115,33,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2951,2416,535,1,100,814762,4.05,362.19,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-15,-5,-0.61,-13.2,0
VS,202115,21,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1309,1150,159,1,100,348503,6.03,375.61,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-15,6,1.73,40,0
ZG,202115,15,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,197,114,83,1,100,128794,11.65,152.96,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-15,4,3.11,36.4,0
ZH,202115,118,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4068,3110,958,1,100,1553423,7.6,261.87,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-15,16,1.03,15.7,0
AG,202116,41,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1681,1286,395,1,100,694072,5.91,242.19,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,9,1.3,28.1,0
AI,202116,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,47,43,4,NA,NA,16293,0,288.47,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,0,0,NA,NA
AR,202116,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,185,162,23,1,100,55309,3.62,334.48,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,0,0,0,0
BE,202116,49,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2766,2247,519,1,100,1043132,4.7,265.16,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,6,0.58,14,0
BL,202116,6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,813,700,113,1,100,290969,2.06,279.41,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,-2,-0.69,-25,0
BS,202116,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,727,622,105,1,100,196735,2.54,369.53,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,-10,-5.08,-66.7,0
FL,202116,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,170,144,26,1,100,39055,10.24,435.28,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,-2,-5.12,-33.3,0
FR,202116,11,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1153,1017,136,1,100,325496,3.38,354.23,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,5,1.54,83.3,0
GE,202116,51,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1567,1126,441,1,100,506343,10.07,309.47,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,2,0.39,4.1,0
GL,202116,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,158,121,37,1,100,40851,7.34,386.77,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,-5,-12.24,-62.5,0
GR,202116,10,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,592,491,101,1,100,200096,5,295.86,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,1,0.5,11.1,0
JU,202116,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,198,183,15,1,100,73709,1.36,268.62,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,1,1.36,NA,NA
LU,202116,13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,783,627,156,1,100,416347,3.12,188.06,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,3,0.72,30,0
NE,202116,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1067,887,180,1,100,175894,1.14,606.62,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,-1,-0.57,-33.3,0
NW,202116,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,115,87,28,1,100,43520,9.19,264.25,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,0,0,0,0
OW,202116,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,131,96,35,1,100,38108,10.5,343.76,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,0,0,0,0
SG,202116,25,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1589,1302,287,1,100,514504,4.86,308.84,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,5,0.97,25,0
SH,202116,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,205,157,48,1,100,83107,4.81,246.67,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,-2,-2.41,-33.3,0
SO,202116,17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,997,790,207,1,100,277462,6.13,359.33,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,3,1.08,21.4,0
SZ,202116,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,574,505,69,1,100,162157,2.47,353.98,COVID19Hosp,,2022-05-03_06-06-15,isoweek,2021-16,1,0.62,33.3,0
