date,geoRegion,ageRange,sex,cases,hosps,deaths
202018,GE,30 - 39,unknown,0,0,0
202018,GE,40 - 49,male,7,0,0
202018,GE,40 - 49,female,8,0,0
202018,GE,40 - 49,unknown,0,0,0
202018,GE,50 - 59,male,6,0,0
202018,GE,50 - 59,female,10,0,0
202018,GE,50 - 59,unknown,0,0,0
202018,GE,60 - 69,male,9,1,1
202018,GE,60 - 69,female,2,0,0
202018,GE,60 - 69,unknown,0,0,0
202018,GE,70 - 79,male,1,0,1
202018,GE,70 - 79,female,1,0,0
202018,GE,70 - 79,unknown,0,0,0
202018,GE,80+,male,6,0,6
202018,GE,80+,female,9,0,5
202018,GE,80+,unknown,0,0,0
202018,GE,unknown,male,0,0,0
202018,GE,unknown,female,0,0,0
202018,GE,unknown,unknown,0,0,0
202018,GL,0 - 9,male,0,0,0
202018,GL,0 - 9,female,0,0,0
202018,GL,0 - 9,unknown,0,0,0
202018,GL,10 - 19,male,0,0,0
202018,GL,10 - 19,female,0,0,0
202018,GL,10 - 19,unknown,0,0,0
202018,GL,20 - 29,male,0,0,0
202018,GL,20 - 29,female,1,0,0
202018,GL,20 - 29,unknown,0,0,0
202018,GL,30 - 39,male,0,0,0
202018,GL,30 - 39,female,0,0,0
202018,GL,30 - 39,unknown,0,0,0
202018,GL,40 - 49,male,0,0,0
202018,GL,40 - 49,female,0,0,0
202018,GL,40 - 49,unknown,0,0,0
202018,GL,50 - 59,male,0,0,0
202018,GL,50 - 59,female,0,0,0
202018,GL,50 - 59,unknown,0,0,0
202018,GL,60 - 69,male,1,0,0
202018,GL,60 - 69,female,0,0,0
202018,GL,60 - 69,unknown,0,0,0
202018,GL,70 - 79,male,0,0,0
202018,GL,70 - 79,female,0,0,1
202018,GL,70 - 79,unknown,0,0,0
202018,GL,80+,male,1,0,2
202018,GL,80+,female,0,0,1
202018,GL,80+,unknown,0,0,0
202018,GL,unknown,male,0,0,0
202018,GL,unknown,female,0,0,0
202018,GL,unknown,unknown,0,0,0
202018,GR,0 - 9,male,0,0,0
202018,GR,0 - 9,female,0,0,0
202018,GR,0 - 9,unknown,0,0,0
202018,GR,10 - 19,male,0,0,0
202018,GR,10 - 19,female,0,0,0
202018,GR,10 - 19,unknown,0,0,0
202018,GR,20 - 29,male,0,0,0
202018,GR,20 - 29,female,0,0,0
202018,GR,20 - 29,unknown,0,0,0
202018,GR,30 - 39,male,1,0,0
202018,GR,30 - 39,female,0,0,0
202018,GR,30 - 39,unknown,0,0,0
202018,GR,40 - 49,male,0,0,0
202018,GR,40 - 49,female,1,0,0
202018,GR,40 - 49,unknown,0,0,0
202018,GR,50 - 59,male,0,0,0
202018,GR,50 - 59,female,0,0,0
202018,GR,50 - 59,unknown,0,0,0
202018,GR,60 - 69,male,1,0,0
202018,GR,60 - 69,female,0,0,0
202018,GR,60 - 69,unknown,0,0,0
202018,GR,70 - 79,male,0,0,0
202018,GR,70 - 79,female,0,0,0
202018,GR,70 - 79,unknown,0,0,0
202018,GR,80+,male,0,0,0
202018,GR,80+,female,4,0,1
202018,GR,80+,unknown,0,0,0
202018,GR,unknown,male,0,0,0
202018,GR,unknown,female,0,0,0
202018,GR,unknown,unknown,0,0,0
202018,JU,0 - 9,male,0,0,0
202018,JU,0 - 9,female,0,0,0
202018,JU,0 - 9,unknown,0,0,0
202018,JU,10 - 19,male,0,0,0
202018,JU,10 - 19,female,0,0,0
202018,JU,10 - 19,unknown,0,0,0
