sex,nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_phase6,timeframe_28d,timeframe_14d
unknown,all,TG,202201,6,0,6,142,0,NA,5.6,0,0,NA,NA,NA,COVID19Test,sex,2022-05-03_06-06-15,isoweek,2022-01,6,NA,NA,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
unknown,all,TI,202201,23,1,22,722,4.3,0.09999999999999964,1,0.001,0.1,NA,NA,NA,COVID19Test,sex,2022-05-03_06-06-15,isoweek,2022-01,-1,NA,-4.2,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
unknown,all,UR,202201,0,0,NA,7,NA,NA,14.3,0,0,NA,NA,NA,COVID19Test,sex,2022-05-03_06-06-15,isoweek,2022-01,0,NA,NA,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
unknown,all,VD,202201,37,7,30,1648,18.9,10.299999999999999,4,0.001,0.1,NA,NA,NA,COVID19Test,sex,2022-05-03_06-06-15,isoweek,2022-01,2,NA,5.7,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
unknown,all,VS,202201,28,7,21,646,25,25,2.2,0.001,0.1,NA,NA,NA,COVID19Test,sex,2022-05-03_06-06-15,isoweek,2022-01,2,NA,7.7,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
unknown,all,ZG,202201,73,0,73,143,0,0,0,0.01,1,NA,NA,NA,COVID19Test,sex,2022-05-03_06-06-15,isoweek,2022-01,69,NA,1725,0.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
unknown,all,ZH,202201,741,18,723,7756,2.4,-19.5,1,0.008,0.8,NA,NA,NA,COVID19Test,sex,2022-05-03_06-06-15,isoweek,2022-01,709,NA,2215.6,0.7000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
male,all,AG,202202,15128,6236,8892,493788,41.2,2.6000000000000014,12.6,0.479,47.9,348814,4336.98,141561.98,COVID19Test,sex,2022-05-03_06-06-15,isoweek,2022-02,1521,436.05,11.2,1.5999999999999943,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
male,all,AI,202202,275,135,140,12672,49.1,3.3999999999999986,15.9,0.457,45.7,8361,3289.08,151560.82,COVID19Test,sex,2022-05-03_06-06-15,isoweek,2022-02,-5,-59.8,-1.8,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
male,all,AR,202202,1054,421,633,34339,39.9,-0.10000000000000142,17.3,0.493,49.3,27883,3780.08,123153.89,COVID19Test,sex,2022-05-03_06-06-15,isoweek,2022-02,240,860.74,29.5,2.499999999999993,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
male,all,BE,202202,32861,10202,22659,810922,31,1.8000000000000007,10.9,0.445,44.5,512300,6414.41,158290.45,COVID19Test,sex,2022-05-03_06-06-15,isoweek,2022-02,3296,643.38,11.1,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
male,all,BL,202202,11269,2654,8615,307848,23.6,3.5,8.3,0.472,47.199999999999996,142767,7893.28,215629.66,COVID19Test,sex,2022-05-03_06-06-15,isoweek,2022-02,-138,-96.66,-1.2,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
